Ligand_SMILES,Target_UniProt,Target_Name,Species,Activity_nM
COc1cccc(C(=O)NC2(C(=O)c3cc(C)cc(C)c3)CCSCC2)c1C,P,Ecdysone receptor,Bombyx mori,1600.0
COc1cccc(C(=O)NC2(C(=O)c3cc(C)cc(C)c3)CC2)c1C,P,Ecdysone receptor,Bombyx mori,20360.0
COc1ccccc1C(=O)C1(NC(=O)c2cccc(OC)c2C)CCCC1,P,Ecdysone receptor,Bombyx mori,5160.0
COc1cccc(C(=O)NC(C)(C)C(=O)c2cc(C)cc(C)c2)c1C,P,Ecdysone receptor,Bombyx mori,10000.0
Cc1cc(C)cc(C(=O)C2(NC(=O)c3ccc4c(c3C)OCO4)CCCCC2)c1,P,Ecdysone receptor,Bombyx mori,3680.0
Cc1ccc(NC2CCN(C(=O)c3ccc(Cl)cc3)c3ccccc32)cc1,P,Ecdysone receptor,Bombyx mori,8912.51
CC1CCc2ccccc2N1C(=O)c1ccc(Cl)cc1,P,Ecdysone receptor,Bombyx mori,47863.01
Cc1ccc(NC2CC(C)N(C(=O)c3ccc(C(C)(C)C)cc3)c3ccc(C)cc32)cc1,P,Ecdysone receptor,Bombyx mori,23988.33
Cc1ccc(NC2CCN(C(=O)c3ccc(Cl)cc3)CC2)cc1,P,Ecdysone receptor,Bombyx mori,2238.72
Cc1ccc(N(C(=O)c2ccc(Cl)cc2)C2CC(C)N(C(=O)c3ccc(Cl)cc3)c3ccc(C)cc32)cc1,P,Ecdysone receptor,Bombyx mori,13489.63
CCc1ccc(C(=O)NC(C(=O)c2cc(C)cc(C)c2)C(C)(C)C)cc1,P,Ecdysone receptor,Bombyx mori,28183.83
CCc1ccc(C(=O)NC(CC)(CC)C(=O)c2cc(C)cc(C)c2)cc1,P,Ecdysone receptor,Bombyx mori,1258.93
CCC(CC)(NC(=O)c1ccc2c(c1C)CCCO2)C(=O)c1cc(C)cc(C)c1,P,Ecdysone receptor,Bombyx mori,190.55
Cc1cc(C)cc(C(=O)C2(NC(=O)c3ccc4c(c3C)CCCO4)CCCCC2)c1,P,Ecdysone receptor,Bombyx mori,4.365
CCCCc1ccc(C(=O)NN(C(=O)c2ccccc2OCC)C(C)(C)C)cc1,P,Ecdysone receptor,Bombyx mori,16218.1
CCCCCc1ccc(C(=O)NN(C(=O)c2ccccc2Cl)C(C)(C)C)cc1,P,Ecdysone receptor,Bombyx mori,426.58
Cc1c(C(=O)NN(C(=O)c2ccccc2Cl)C(C)(C)C)ccc2c1CCCO2,P,Ecdysone receptor,Bombyx mori,2.884
Cc1cc(C)c(Cl)c(C(=O)N(NC(=O)c2ccc3c(c2C)CCCO3)C(C)(C)C)c1,P,Ecdysone receptor,Bombyx mori,33.11
Cc1cc(C)c(Cl)c(C(=O)N(NC(=O)c2ccc(Cl)cc2)C(C)(C)C)c1,P,Ecdysone receptor,Bombyx mori,446.68
CCCCCc1ccc(C(=O)NN(C(=O)c2cc(C)cc(C)c2Cl)C(C)(C)C)cc1,P,Ecdysone receptor,Bombyx mori,1778.28
Cc1ccc(C(=O)NN(C(=O)c2cc(C)cc(C)c2Cl)C(C)(C)C)cc1,P,Ecdysone receptor,Bombyx mori,302.0
COc1ccc(C(=O)NN(C(=O)c2cc(C)cc(C)c2Cl)C(C)(C)C)cc1,P,Ecdysone receptor,Bombyx mori,1230.27
CCCCc1ccc(C(=O)NN(C(=O)c2cc(C)cc(C)c2Cl)C(C)(C)C)cc1,P,Ecdysone receptor,Bombyx mori,1148.15
CCc1ccc(C(=O)NN(C(=O)c2cc(C)cc(C)c2Cl)C(C)(C)C)cc1,P,Ecdysone receptor,Bombyx mori,114.82
Cc1cc(C)c(Cl)c(C(=O)N(NC(=O)c2ccccc2)C(C)(C)C)c1,P,Ecdysone receptor,Bombyx mori,1174.9
CCOc1ccccc1C(=O)N(NC(=O)c1ccc(CC)cc1)C(C)(C)C,P,Ecdysone receptor,Bombyx mori,2884.03
CCOc1ccccc1C(=O)N(NC(=O)c1ccc(Cl)cc1)C(C)(C)C,P,Ecdysone receptor,Bombyx mori,7762.47
CCOc1ccccc1C(=O)N(NC(=O)c1ccc(OC)cc1)C(C)(C)C,P,Ecdysone receptor,Bombyx mori,19054.61
Cc1cc(C)cc(C(=O)N(NC(=O)c2cccc(C)c2C)C(C)(C)C)c1,P,Ecdysone receptor,Bombyx mori,10.96
Cc1cc(C)cc(C(=O)N(NC(=O)c2ccc(C(C)(C)C)cc2)C(C)(C)C)c1,P,Ecdysone receptor,Bombyx mori,7.079
Cc1ccccc1C(=O)N(NC(=O)c1cccc(F)c1)C(C)(C)C,P,Ecdysone receptor,Bombyx mori,323.59
CC(C)(C)N(NC(=O)c1ccccc1)C(=O)c1ccc(Cl)c(Cl)c1Cl,P,Ecdysone receptor,Bombyx mori,3630.78
Cc1cc(C)cc(C(=O)N(NC(=O)c2ccc3c(c2C)CCCO3)C(C)(C)C)c1,P,Ecdysone receptor,Bombyx mori,1.0
O=C(NN(CC1CCCCC1)C(=O)c1ccccc1)c1ccccc1,P,Ecdysone receptor,Bombyx mori,1698.24
O=C(NN(C(=O)c1ccccc1)C1CCCCC1)c1ccccc1,P,Ecdysone receptor,Bombyx mori,891.25
O=C(NN(C(=O)c1ccccc1)c1ccccc1)c1ccccc1,P,Ecdysone receptor,Bombyx mori,25703.96
CC(C)CN(NC(=O)c1ccccc1)C(=O)c1ccccc1,P,Ecdysone receptor,Bombyx mori,2884.03
CCCCN(NC(=O)c1ccccc1)C(=O)c1ccccc1,P,Ecdysone receptor,Bombyx mori,7079.46
CCCCCCCCCC(=O)NN(C(=O)c1cc(C)cc(C)c1)C(C)(C)C,P,Ecdysone receptor,Bombyx mori,1548.82
CCCCCCCC(=O)NN(C(=O)c1cc(C)cc(C)c1)C(C)(C)C,P,Ecdysone receptor,Bombyx mori,97.72
Cc1cc(C)cc(C(=O)N(NC(=O)CCC(C)C)C(C)(C)C)c1,P,Ecdysone receptor,Bombyx mori,91.2
CCCCCC(=O)NN(C(=O)c1cc(C)cc(C)c1)C(C)(C)C,P,Ecdysone receptor,Bombyx mori,79.43
CCCCC(=O)NN(C(=O)c1cc(C)cc(C)c1)C(C)(C)C,P,Ecdysone receptor,Bombyx mori,1862.09
CCCCCCC(=O)NN(C(=O)c1ccccc1Cl)C(C)(C)C,P,Ecdysone receptor,Bombyx mori,741.31
CCc1ccc(C(=O)NN(C(=O)C2CCCCC2)C(C)(C)C)cc1,P,Ecdysone receptor,Bombyx mori,9332.54
CCc1ccc(C(=O)NN(C(=O)C2CC=CCC2)C(C)(C)C)cc1,P,Ecdysone receptor,Bombyx mori,1000.0
CCCCCCC(=O)N(NC(=O)c1ccc(CC)cc1)C(C)(C)C,P,Ecdysone receptor,Bombyx mori,11748.98
CCc1ccc(C(=O)NN(C(=O)CCC(C)C)C(C)(C)C)cc1,P,Ecdysone receptor,Bombyx mori,831.76
CCCCCC(=O)N(NC(=O)c1ccc(CC)cc1)C(C)(C)C,P,Ecdysone receptor,Bombyx mori,2818.38
Cc1cc(C)cc(C(=O)NN(C(=O)CCC(C)C)C(C)(C)C)c1,P,Ecdysone receptor,Bombyx mori,14454.4
CCCCCC(=O)N(NC(=O)c1cc(C)cc(C)c1)C(C)(C)C,P,Ecdysone receptor,Bombyx mori,8709.64
CCCCCCC(=O)N(NC(=O)c1ccccc1)C(C)(C)C,P,Ecdysone receptor,Bombyx mori,7244.36
CC(C)(C)N(NC(=O)c1ccccc1)C(=O)C1CCCCC1,P,Ecdysone receptor,Bombyx mori,46773.51
OC[C@H]1O[C@H](NC2=N[C@@H]3[C@H](O2)[C@@H](O)[C@H](O)[C@]3(O)CO)[C@H](O)[C@@H](O)[C@@H]1O,P,Trehalase,Bombyx mori,49.0
OCC1=C[C@H](N[C@H]2C[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,P,Trehalase,Bombyx mori,48.0
O=C1N[C@@H](Cc2ccc(O)cc2)C(=O)N2CCC[C@@H]12,B,Phenol oxidase,Plutella xylostella,42480.0
CC(=O)/C=C/c1ccccc1,B,Phenol oxidase,Plutella xylostella,38310.0
